element,ion_state,wavelength,Ei,Ek,gi,gk,Ak,emissivity,channel,pixel,half_px,step_nm,interference,rel_emissivity,status,snr,selected,response_ln
Fe,II,554.42,10.6229357,12.8586008,6.0,8.0,15900000.0,8.494177428536656e-05,2,6794,3,0.06201171875,1071.2151224770178,9.184858039048596e-07,implausible,,False,
Fe,II,554.476,10.5217184,12.7571589,12.0,12.0,24900000.0,0.00022739238132231024,2,6795,3,0.06201171875,399.52289522271576,2.4588216565737965e-06,implausible,,False,
Fe,II,554.814,10.5217184,12.7557949,12.0,10.0,3000000.0,2.28568153149779e-05,2,6800,3,0.06201171875,6.57410859646397,2.4715354212819984e-07,implausible,,False,
Fe,II,554.823,10.6229357,12.8569773,6.0,6.0,10500000.0,4.2127755258854e-05,2,6801,3,0.06201171875,3.109404840139893,4.555325748864384e-07,implausible,,False,
Fe,II,554.9,10.5226519,12.7563835,6.0,8.0,17700000.0,0.00010778561471061861,2,6802,3,0.06201171875,0.602905784304349,1.16549904696207e-06,implausible,,False,
Fe,II,555.829,10.5446893,12.7746894,4.0,4.0,8900000.0,2.6422275553624916e-05,2,6818,3,0.06201171875,1641.1304019961985,2.8570730017171045e-07,implausible,,False,
Fe,II,555.98,10.6229357,12.8523307,6.0,6.0,6400000.0,2.5778418041093247e-05,2,6820,3,0.06201171875,2223.121075310377,2.7874519006778116e-07,implausible,,False,
Fe,II,556.114,10.5217184,12.7505746,12.0,14.0,4000000.0,4.285379756523248e-05,2,6823,3,0.06201171875,1338.3336497895182,4.6338335922728146e-07,implausible,,False,
Fe,II,556.152,10.5446893,12.7733903,4.0,6.0,9900000.0,4.413486750311819e-05,2,6823,3,0.06201171875,0.9709737445615941,4.77235725293998e-07,implausible,,False,
Fe,II,556.339,10.6290223,12.8569773,4.0,6.0,10100000.0,4.041246525271716e-05,2,6826,3,0.06201171875,3147.41741295025,4.3698493406457746e-07,implausible,,False,
Fe,II,557.028,10.6290223,12.8542212,4.0,2.0,16000000.0,2.138939622979052e-05,2,6838,3,0.06201171875,55495.49602571494,2.3128615991888023e-07,implausible,,False,
Fe,II,557.152,10.59605,12.8207506,8.0,6.0,3100000.0,1.2977992986460542e-05,2,6840,3,0.06201171875,0.0,1.4033262692623538e-07,implausible,,False,
Fe,II,557.501,10.6290223,12.8523307,4.0,6.0,5200000.0,2.0887821637576808e-05,2,6846,3,0.06201171875,113.8688894644456,2.2586257245059927e-07,implausible,,False,
Fe,II,557.791,10.59605,12.8182037,8.0,8.0,21000000.0,0.00011747143258536045,2,6851,3,0.06201171875,0.30082596140186435,1.2702329813777882e-06,implausible,,False,
Fe,II,557.801,10.6000744,12.8221898,6.0,4.0,12700000.0,3.533839265331795e-05,2,6851,3,0.06201171875,3.32418901247786,3.8211836588019125e-07,implausible,,False,
Fe,II,557.993,10.6290223,12.850374,4.0,4.0,16800000.0,4.50630344792286e-05,2,6854,3,0.06201171875,0.0,4.872721084327191e-07,implausible,,False,
Fe,II,558.163,10.6000744,12.8207506,6.0,6.0,10700000.0,4.471387090347545e-05,2,6857,3,0.06201171875,0.0,4.834965599435563e-07,implausible,,False,
Fe,II,558.394,10.5446893,12.7644423,4.0,6.0,5300000.0,2.3805972185829822e-05,2,6861,3,0.06201171875,1.200898641638648e-06,2.574168915683402e-07,implausible,,False,
Fe,II,558.803,10.6000744,12.8182037,6.0,8.0,4900000.0,2.736036104390668e-05,2,6868,3,0.06201171875,7.9754465106421275,2.9585093341838927e-07,implausible,,False,
Fe,II,558.822,10.59605,12.8141045,8.0,10.0,31100000.0,0.00021821109601753434,2,6869,3,0.06201171875,0.1253848293842406,2.359543294601909e-06,implausible,,False,
Fe,II,559.456,10.6000744,12.8156139,6.0,6.0,4000000.0,1.678765424388851e-05,2,6879,3,0.06201171875,9492.573045548686,1.815269604808706e-07,implausible,,False,
Fe,II,562.987,10.5615658,12.7632131,10.0,8.0,3400000.0,2.0228254269379786e-05,2,6940,3,0.06201171875,0.0,2.187305897541627e-07,implausible,,False,
Fe,II,563.968,10.6229357,12.8207506,6.0,6.0,7800000.0,3.225965179302167e-05,2,6957,3,0.06201171875,1.706394470978267,3.488275640588886e-07,implausible,,False,
Fe,II,564.387,7.6530572,9.8492422,8.0,8.0,1200000.0,0.0003050239803652586,2,6964,3,0.06201171875,0.0,3.29826164067201e-06,implausible,,False,
Fe,II,564.539,10.5615658,12.7571589,10.0,12.0,27200000.0,0.00024396878868660765,2,6966,3,0.06201171875,16.9016661687177,2.638064378684842e-06,implausible,,False,
Fe,II,564.623,10.6229357,12.8182037,6.0,8.0,6800000.0,3.757810022936513e-05,2,6968,3,0.06201171875,115.22322001369223,4.063365980846002e-07,implausible,,False,
Fe,II,564.89,10.5615658,12.7557949,10.0,10.0,14300000.0,0.00010700745289050215,2,6972,3,0.06201171875,144.87727110464377,1.1570846879387164e-06,implausible,,False,
Fe,II,565.152,10.6290223,12.8222325,4.0,2.0,25000000.0,3.432758038028449e-05,2,6977,3,0.06201171875,1169.3819836400266,3.711883290284184e-07,implausible,,False,
Fe,II,565.164,10.6290223,12.8221898,4.0,4.0,5100000.0,1.4006126530244745e-05,2,6977,3,0.06201171875,2867.4862679401895,1.5144996079910307e-07,implausible,,False,
Fe,II,565.535,10.6290223,12.8207506,4.0,6.0,9800000.0,4.0419051976330805e-05,2,6983,3,0.06201171875,1871.9931608896648,4.3705615711335737e-07,implausible,,False,
Fe,II,566.014,10.6290223,12.8188939,4.0,4.0,19800000.0,5.4526296303000364e-05,2,6992,3,0.06201171875,7.852082801435763e-05,5.895995170240249e-07,implausible,,False,
Fe,II,566.863,10.6290223,12.8156139,4.0,6.0,4300000.0,1.781091804301755e-05,2,7006,3,0.06201171875,314.2078413162079,1.925916372086287e-07,implausible,,False,
Fe,II,567.525,10.6000744,12.7841142,6.0,4.0,13700000.0,3.9353134232085226e-05,2,7018,3,0.06201171875,154.06194975975043,4.255302580553656e-07,implausible,,False,
Fe,II,569.1,10.6780583,12.8560572,10.0,12.0,11500000.0,9.007161705602136e-05,2,7045,3,0.06201171875,359.51076161707425,9.73955421778407e-07,implausible,,False,
Fe,II,570.326,10.6000744,12.7733903,6.0,6.0,6200000.0,2.6953095788505435e-05,2,7066,3,0.06201171875,2224.4499742453795,2.9144712435439406e-07,implausible,,False,
Fe,II,571.51,10.8576631,13.0264775,6.0,8.0,2400000.0,1.0017138671479799e-05,2,7087,3,0.06201171875,0.0,1.0831654675107986e-07,implausible,,False,
