config_id,scaling,n_bins,n_pc,hidden,alpha,balance,precision_macro,precision_macro_std,recall_macro,recall_macro_std,f1_macro,f1_macro_std,f1_weighted,f1_weighted_std,accuracy,accuracy_std
51,center,8,10,"(64,)",0.01,True,0.33152831573884206,0.0316043006986139,0.3291025641025641,0.02962981677654719,0.32888017900639804,0.030194802949892408,0.39714557652260823,0.028309812169209116,0.40277777777777773,0.02749859704614353
52,center,8,10,"(64,)",0.1,False,0.3523476804811487,0.02129882175181754,0.335018315018315,0.028909465958764407,0.33809088070224624,0.02801376686662268,0.42037200569414535,0.025406585871566134,0.4305555555555556,0.019641855032959635
53,center,8,10,"(64,)",0.1,True,0.32951403951403946,0.029514430795422403,0.3307692307692307,0.02907027879754205,0.32895730498313,0.02883931950748265,0.3999749745180161,0.02818471217768003,0.4055555555555556,0.02749859704614351
54,center,8,10,"(128, 64)",0.001,False,0.3136898870541501,0.040109604015756604,0.3047435897435897,0.03191105904220056,0.3053778800352219,0.03524982217694949,0.3959916588118663,0.03267179518274167,0.4083333333333334,0.029658550700086973
55,center,8,10,"(128, 64)",0.001,True,0.36526168156005107,0.03372790959461488,0.3568315018315018,0.03744432820488408,0.35769725392225954,0.03730754466386582,0.43635831715361634,0.03615273143502614,0.4444444444444444,0.03356401659331824
56,center,8,10,"(128, 64)",0.01,False,0.3136898870541501,0.040109604015756604,0.3047435897435897,0.03191105904220056,0.3053778800352219,0.03524982217694949,0.3959916588118663,0.03267179518274167,0.4083333333333334,0.029658550700086973
57,center,8,10,"(128, 64)",0.01,True,0.35940309570146517,0.02582681363516621,0.3517032967032967,0.030839238776458108,0.3523639205889262,0.03044418030538071,0.43344165048694966,0.03204891727722936,0.44166666666666665,0.029658550700086977
58,center,8,10,"(128, 64)",0.1,False,0.3215340556697927,0.03319587278933377,0.31166666666666665,0.03408260059432106,0.3130607674247934,0.033755804126457546,0.3965027006649662,0.0392315449371693,0.4083333333333334,0.041387956738198166
59,center,8,10,"(128, 64)",0.1,True,0.3576936745805727,0.033556018563702064,0.35016483516483515,0.03932817449796866,0.3510359540535715,0.038488514716995194,0.4266077990574515,0.03812613484526482,0.4333333333333333,0.03535533905932738
60,center,8,20,"(64,)",0.001,False,0.5121709952259483,0.03283262597539177,0.4822893772893773,0.02478427365999714,0.4906365456180402,0.029089695518892317,0.5590175103755569,0.02014390472980265,0.5694444444444444,0.01571348402636772
61,center,8,20,"(64,)",0.001,True,0.5107612385513689,0.017398184791879226,0.4978021978021978,0.01051620218485292,0.5003413524369054,0.0101732713730974,0.5676029591119142,0.007054441079556218,0.5722222222222222,0.01039349274103873
62,center,8,20,"(64,)",0.01,False,0.5121709952259483,0.03283262597539177,0.4822893772893773,0.02478427365999714,0.4906365456180402,0.029089695518892317,0.5590175103755569,0.02014390472980265,0.5694444444444444,0.01571348402636772
63,center,8,20,"(64,)",0.01,True,0.5107612385513689,0.017398184791879226,0.4978021978021978,0.01051620218485292,0.5003413524369054,0.0101732713730974,0.5676029591119142,0.007054441079556218,0.5722222222222222,0.01039349274103873
64,center,8,20,"(64,)",0.1,False,0.5225352651024134,0.029365688680389475,0.49087912087912083,0.0148467598155181,0.500536604406988,0.021282737116878225,0.5631961797857078,0.01306381479701957,0.5722222222222222,0.01039349274103873
65,center,8,20,"(64,)",0.1,True,0.5163402848280897,0.013188917004941954,0.5029304029304029,0.0067802187907535375,0.5057329136843941,0.006068880200229421,0.5699465212665799,0.003171647032901658,0.575,0.006804138174397738
66,center,8,20,"(128, 64)",0.001,False,0.5117400339766712,0.03756229755075333,0.4783882783882784,0.0393435582590976,0.4885645187855336,0.03936918601490923,0.5516303164503652,0.038289076346630806,0.5611111111111111,0.039283710065919325
67,center,8,20,"(128, 64)",0.001,True,0.4930097074833917,0.033165765214925036,0.48007326007326007,0.03416599782569356,0.4831173608303838,0.033551321485777975,0.5428508486484156,0.03346277608567402,0.5472222222222222,0.034246744460938776
68,center,8,20,"(128, 64)",0.01,False,0.5020567444341727,0.044518307031782764,0.47362637362637366,0.041940128266069486,0.4825368848750002,0.043013888838667975,0.5481656315045192,0.04065230423423662,0.5583333333333333,0.04138795673819817
69,center,8,20,"(128, 64)",0.01,True,0.4930097074833917,0.033165765214925036,0.48007326007326007,0.03416599782569356,0.4831173608303838,0.033551321485777975,0.5428508486484156,0.03346277608567402,0.5472222222222222,0.034246744460938776
70,center,8,20,"(128, 64)",0.1,False,0.5149724788224381,0.020307627216356403,0.48708791208791213,0.023040569656556188,0.49611171616894884,0.0214167756909116,0.5651657720075366,0.024310776515755524,0.5750000000000001,0.024532669073132923
71,center,8,20,"(128, 64)",0.1,True,0.49837229767435715,0.03523137359628234,0.4834065934065935,0.03492589955789761,0.48741418305698264,0.035308968491811185,0.5478992085797366,0.03472352330648101,0.5527777777777777,0.034916125249934794
72,center,8,30,"(64,)",0.001,False,0.54786076326774,0.02530297012171548,0.5321428571428571,0.019944827898081077,0.5352483935995728,0.023438450487534155,0.5940652187554649,0.022282106836968105,0.6,0.02453266907313291
73,center,8,30,"(64,)",0.001,True,0.5448577195554926,0.027149426394023454,0.5503846153846154,0.018260504952994822,0.5437933829088452,0.022488175783022448,0.5994508121432492,0.020626008242360452,0.6027777777777777,0.023895347964007302
